year,regional_std,trend
2011,2.0486924306402705,diverging
2012,2.0050713068230057,diverging
2013,1.8967786730749177,diverging
2014,2.0521059157384687,diverging
2015,2.5483900444754872,diverging
2016,2.2862861773504632,diverging
2017,2.535111145715594,diverging
2018,2.566931522795127,diverging
2019,2.4214447451268333,diverging
2020,2.594685303388251,diverging
2021,2.8396487543704376,diverging
2022,2.4792033668311095,diverging
2023,2.5445184408237473,diverging
