region,pre_avg,post_avg,delta,pct_change
West,27.2360348936469,30.070685004254116,2.83,10.39
Midwest,33.22431533033554,35.99743380363458,2.77,8.34
Southeast,33.39238593541163,35.94216856231961,2.55,7.64
Southwest,32.775953639377185,35.02811811529215,2.25,6.86
Other,32.69125699018317,34.59156978624541,1.9,5.81
Northeast,28.434338904206257,29.906837478602935,1.47,5.17
