region,year,measure,prevalence_pct,sample_size_total
West,2011,smoking,18.362371714228964,15103
West,2012,smoking,16.84018953752843,13190
West,2013,smoking,16.84396702077057,12614
West,2014,smoking,15.831385627054956,10645
West,2015,smoking,15.184258915304607,10768
West,2016,smoking,14.75170239596469,10309
West,2017,smoking,14.623348777071435,9281
West,2018,smoking,14.123483687322093,9134
West,2019,smoking,13.494401898392839,9271
West,2020,smoking,13.204725168756026,8296
West,2021,smoking,12.407329207620435,8241
West,2022,smoking,11.679376008606779,9295
West,2023,smoking,10.328378228577764,9021
